Table Name,Field Name,Field Type,Description
dim_Customer,CustomerKey,Column,Unique identifier for customer records. Used as primary key in relationships.
dim_Customer,CustomerName,Column,Full name of the customer as registered in the system
dim_Customer,EmailAddress,Column,Primary email contact for the customer
dim_Customer,Country,Column,Customer's country of residence
dim_Product,ProductKey,Column,Unique identifier for product records
dim_Product,ProductName,Column,Display name of the product
dim_Product,Category,Column,Product category classification for grouping and analysis
dim_Product,UnitPrice,Column,Base price per unit in USD before any discounts or taxes
fact_Sales,SalesKey,Column,Unique transaction identifier for each sales record
fact_Sales,OrderDate,Column,Date when the order was placed by the customer
fact_Sales,Quantity,Column,Number of units sold in this transaction
fact_Sales,Revenue,Column,Total revenue for this transaction after discounts but before tax
Measure,Total Sales,Measure,Sum of all revenue across selected transactions. Primary sales KPI.
Measure,Average Order Value,Measure,Average revenue per transaction. Calculated as Total Sales divided by Order Count.
Measure,Sales Growth %,Measure,Year-over-year sales growth percentage. Shows change from previous year to current year.
